Term,ProsperRating (Alpha),LoanOriginalAmount,Investors,LoanCreatingYear
36,A,10000,293,2009
36,A,10000,392,2009
36,A,4500,194,2009
36,A,3275,235,2009
36,A,2000,79,2009
36,A,3000,222,2009
36,A,1500,44,2009
36,A,5000,100,2009
36,A,1500,68,2009
36,A,6000,311,2009
36,A,4300,71,2009
36,A,17000,543,2009
36,A,1500,98,2009
36,A,6750,233,2009
36,A,10000,372,2009
36,A,3500,208,2009
36,A,4000,146,2009
36,A,3000,111,2009
36,A,2500,80,2009
36,A,10000,328,2009
36,A,4900,186,2009
36,A,3000,80,2009
36,A,2000,127,2009
36,A,1000,89,2009
36,A,2215,54,2009
36,A,6400,274,2009
36,A,6000,204,2009
36,A,9500,287,2009
36,A,1000,45,2009
36,A,10000,450,2009
36,A,3500,163,2009
36,A,5000,116,2009
36,A,5000,190,2009
36,A,6000,316,2009
36,A,8500,203,2009
36,A,2500,127,2009
36,A,3000,268,2009
36,A,3000,70,2009
36,A,4500,100,2009
36,A,2400,87,2009
36,A,6000,207,2009
36,A,1000,31,2009
36,A,10000,405,2009
36,A,2100,88,2009
36,A,2300,47,2009
36,A,2000,139,2009
36,A,5000,271,2009
36,A,6000,256,2009
36,A,1000,88,2009
36,A,5000,199,2009
36,A,4000,175,2009
36,A,2500,202,2009
36,A,5500,171,2009
36,A,2500,142,2009
36,A,3500,294,2009
36,A,2000,150,2009
36,A,3000,127,2009
36,A,3000,155,2009
36,A,6500,327,2009
36,A,1400,47,2009
36,A,1500,61,2009
36,A,6600,305,2009
36,A,3700,115,2009
36,A,2500,72,2009
36,A,7000,315,2009
36,A,1000,75,2009
36,A,3000,85,2009
36,A,5800,204,2009
36,A,8000,301,2009
36,A,1750,101,2009
36,A,4200,129,2009
36,A,10000,442,2009
36,A,4000,234,2009
36,A,1500,59,2009
36,A,2000,75,2009
36,A,3000,126,2009
36,A,1000,36,2009
36,A,2400,182,2009
36,A,13000,418,2009
36,A,2500,74,2009
36,A,2500,96,2009
36,A,1000,42,2009
36,A,7000,123,2009
36,A,3500,89,2009
36,A,3000,110,2009
36,A,2000,52,2009
36,A,5000,185,2009
36,A,2900,133,2009
36,A,2500,113,2009
36,A,6000,203,2009
36,A,3000,194,2009
36,A,2000,58,2009
36,A,4500,205,2009
36,A,10000,315,2009
36,A,3175,98,2009
36,A,2000,51,2009
36,A,4200,216,2009
36,A,5000,228,2009
36,A,3500,135,2009
36,A,4000,275,2009
36,A,3000,55,2009
36,A,5200,145,2009
36,A,1000,28,2009
36,A,4000,93,2009
36,A,4000,78,2009
36,A,12000,523,2009
36,A,6500,263,2009
36,A,6500,93,2009
36,A,3000,82,2009
36,A,1500,51,2009
36,A,5000,147,2009
36,A,5990,257,2009
36,A,12000,479,2009
36,A,1500,91,2009
36,A,10000,402,2009
36,A,1000,27,2009
36,A,3000,132,2009
36,A,15000,599,2009
36,A,5000,145,2009
36,A,1700,97,2009
36,A,3500,132,2009
36,A,5500,112,2009
36,A,4500,8,2009
36,A,11000,356,2009
36,A,1000,51,2009
36,A,1699,152,2009
36,A,1500,49,2009
36,A,1000,55,2009
36,A,4000,89,2009
36,A,3500,157,2009
36,A,6000,291,2009
36,A,1600,91,2009
36,A,3000,81,2009
36,A,1000,18,2009
36,AA,2200,132,2009
36,AA,6000,271,2009
36,AA,5000,190,2009
36,AA,1000,67,2009
36,AA,6500,219,2009
36,AA,20000,899,2009
36,AA,5000,178,2009
36,AA,15000,147,2009
36,AA,1500,79,2009
36,AA,1000,40,2009
36,AA,7500,258,2009
36,AA,1500,100,2009
36,AA,4000,148,2009
36,AA,3600,83,2009
36,AA,2000,181,2009
36,AA,1000,34,2009
36,AA,2000,91,2009
36,AA,12000,258,2009
36,AA,10000,522,2009
36,AA,1000,88,2009
36,AA,3800,178,2009
36,AA,21000,605,2009
36,AA,4000,185,2009
36,AA,5000,152,2009
36,AA,2200,145,2009
36,AA,4620,296,2009
36,AA,5000,255,2009
36,AA,1500,68,2009
36,AA,1500,59,2009
36,AA,10000,432,2009
36,AA,3500,184,2009
36,AA,2700,81,2009
36,AA,1500,61,2009
36,AA,8000,414,2009
36,AA,1000,73,2009
36,AA,1000,125,2009
36,AA,3000,102,2009
36,AA,4000,200,2009
36,AA,2000,139,2009
36,AA,8250,343,2009
36,AA,4900,226,2009
36,AA,2000,82,2009
36,AA,1100,54,2009
36,AA,3000,108,2009
36,AA,1000,58,2009
36,AA,1000,62,2009
36,AA,1000,53,2009
36,AA,2000,71,2009
36,AA,6500,189,2009
36,AA,1000,89,2009
36,AA,15000,588,2009
36,AA,3200,127,2009
36,AA,9500,422,2009
36,AA,1000,66,2009
36,AA,9500,98,2009
36,AA,2000,120,2009
36,AA,2000,71,2009
36,AA,10000,444,2009
36,AA,1000,21,2009
36,AA,3500,172,2009
36,AA,3000,116,2009
36,AA,3000,105,2009
36,AA,6000,266,2009
36,AA,4500,157,2009
36,AA,1000,34,2009
36,AA,10000,502,2009
36,AA,6000,194,2009
36,AA,2500,197,2009
36,AA,2500,119,2009
36,AA,4000,168,2009
36,AA,6500,369,2009
36,AA,5300,409,2009
36,AA,3000,114,2009
36,AA,4000,165,2009
36,AA,6000,203,2009
36,AA,3000,232,2009
36,AA,2000,99,2009
36,AA,20000,643,2009
36,AA,8000,391,2009
36,AA,1000,80,2009
36,AA,10000,201,2009
36,AA,11500,445,2009
36,AA,8750,310,2009
36,AA,10000,410,2009
36,AA,2100,166,2009
36,AA,4000,168,2009
36,AA,2500,104,2009
36,B,3500,129,2009
36,B,1000,39,2009
36,B,2000,33,2009
36,B,8000,273,2009
36,B,2500,114,2009
36,B,4500,223,2009
36,B,2500,59,2009
36,B,10000,359,2009
36,B,9300,427,2009
36,B,10000,362,2009
36,B,2000,61,2009
36,B,2500,135,2009
36,B,8000,549,2009
36,B,12000,432,2009
36,B,10350,366,2009
36,B,15000,751,2009
36,B,3500,188,2009
36,B,1000,51,2009
36,B,13000,427,2009
36,B,1700,48,2009
36,B,3500,56,2009
36,B,10500,383,2009
36,B,15000,572,2009
36,B,1500,35,2009
36,B,2500,37,2009
36,B,8000,410,2009
36,B,3890,167,2009
36,B,1500,22,2009
